keyword,language,topicCluster,isRelevant,sources,priorityHint,sourceCount,demandConfidence,recommendation
ai instagram post generator,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top', 'gsc']",11.0,3,high,candidate
ai carousel generator,en,ai_carousel,True,"['google_trends_rising', 'google_trends_top', 'gsc']",7.29,3,high,candidate
carousel on instagram,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",7.0,2,high,candidate
google ai,en,ai_content,True,"['google_trends_rising', 'google_trends_top']",7.0,2,high,candidate
how to post carousel on linkedin,en,linkedin_carousel,True,"['google_trends_rising', 'google_trends_top']",7.0,2,high,candidate
linkedin carousel post,en,linkedin_carousel,True,"['google_trends_rising', 'google_trends_top']",7.0,2,high,candidate
social media post ideas for business,en,social_content,True,"['google_trends_rising', 'google_trends_top']",7.0,2,high,candidate
ai generated content,en,ai_content,True,"['google_trends_rising', 'google_trends_top']",6.98,2,high,candidate
how to post a carousel on linkedin,en,linkedin_carousel,True,"['google_trends_rising', 'google_trends_top']",6.9399999999999995,2,high,candidate
carousel post linkedin,en,linkedin_carousel,True,"['google_trends_rising', 'google_trends_top']",6.92,2,high,candidate
carousel instagram post,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",6.86,2,high,candidate
instagram carousel post,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",6.78,2,high,candidate
carousel post,en,carousel_general,True,"['google_trends_rising', 'google_trends_top']",6.76,2,high,candidate
carousel post instagram,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",6.76,2,high,candidate
instagram post carousel,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",6.76,2,high,candidate
ai post generator free,en,social_content,True,"['google_trends_rising', 'google_trends_top']",6.6,2,high,candidate
carousel on linkedin,en,linkedin_carousel,True,"['google_trends_rising', 'google_trends_top']",6.58,2,high,candidate
linkedin pdf carousel,en,linkedin_carousel,True,"['google_trends_rising', 'google_trends_top']",6.58,2,high,candidate
ai content marketing,en,ai_content,True,"['google_trends_rising', 'google_trends_top']",6.42,2,high,candidate
ai linkedin post generator,en,linkedin_carousel,True,"['google_trends_rising', 'google_trends_top']",6.32,2,high,candidate
ai content generator,en,ai_content,True,"['google_trends_rising', 'google_trends_top', 'gsc']",6.16,3,high,candidate
ai content creation,en,ai_content,True,"['google_trends_rising', 'google_trends_top']",5.92,2,high,candidate
ai content creator,en,ai_content,True,"['google_trends_rising', 'google_trends_top']",5.84,2,high,candidate
how to create a carousel post on linkedin,en,linkedin_carousel,True,"['google_trends_rising', 'google_trends_top']",5.8,2,high,candidate
wednesday social media post ideas,en,social_content,True,"['google_trends_rising', 'google_trends_top']",5.8,2,high,candidate
linkedin,en,linkedin_carousel,True,"['google_trends_rising', 'google_trends_top']",5.78,2,high,candidate
ai social media post generator,en,social_content,True,"['google_trends_rising', 'google_trends_top']",5.76,2,high,candidate
carousel posts instagram,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",5.68,2,high,candidate
instagram carousel posts,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",5.68,2,high,candidate
instagram post size,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",5.66,2,high,candidate
ai facebook post generator,en,social_content,True,"['google_trends_rising', 'google_trends_top']",5.62,2,high,candidate
instagram post generator free,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",5.5600000000000005,2,high,candidate
ai content writing,en,ai_content,True,"['google_trends_rising', 'google_trends_top']",5.54,2,high,candidate
best time to post on instagram,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",5.52,2,high,candidate
instagram carousel size,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",5.5,2,high,candidate
instagram size,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",5.5,2,high,candidate
ai content detection,en,ai_content,True,"['google_trends_rising', 'google_trends_top']",5.48,2,high,candidate
instagram post template,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",5.48,2,high,candidate
linkedin carousel ads,en,linkedin_carousel,True,"['google_trends_rising', 'google_trends_top']",5.48,2,high,candidate
instagram font generator,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",5.44,2,high,candidate
what is a carousel,en,carousel_general,True,"['google_trends_rising', 'google_trends_top']",5.42,2,high,candidate
ai mode,en,ai_content,True,"['google_trends_rising', 'google_trends_top']",5.4,2,high,candidate
how to make instagram carousel,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",5.4,2,high,candidate
how to post carousel on instagram,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",5.38,2,high,candidate
linkedin carousel size,en,linkedin_carousel,True,"['google_trends_rising', 'google_trends_top']",5.38,2,high,candidate
how to make carousel on instagram,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",5.34,2,high,candidate
free ai social media post generator,en,social_content,True,"['google_trends_rising', 'google_trends_top']",5.32,2,high,candidate
ai picture generator,en,ai_content,True,"['google_trends_rising', 'google_trends_top']",5.3,2,high,candidate
carousel instagram template,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",5.28,2,high,candidate
linkedin carousel dimensions,en,linkedin_carousel,True,"['google_trends_rising', 'google_trends_top']",5.28,2,high,candidate
how to post a carousel on instagram,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",5.26,2,high,candidate
linkedin carousel post size,en,linkedin_carousel,True,"['google_trends_rising', 'google_trends_top']",5.24,2,high,candidate
ai blog post generator,en,social_content,True,"['google_trends_rising', 'google_trends_top']",5.22,2,high,candidate
how to make a carousel on instagram,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",5.22,2,high,candidate
what is a carousel on instagram,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",5.22,2,high,candidate
instagram carousel aspect ratio,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",5.2,2,high,candidate
instagram seamless carousel,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",5.18,2,high,candidate
linkedin carousel post examples,en,linkedin_carousel,True,"['google_trends_rising', 'google_trends_top']",5.16,2,high,candidate
seamless instagram carousel,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",5.16,2,high,candidate
carousel of progress,en,carousel_general,True,"['google_trends_rising', 'google_trends_top']",5.15,2,high,candidate
free ai instagram post generator,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top', 'gsc']",5.1499999999999995,3,high,candidate
instagram carousel ads,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",5.14,2,high,candidate
seamless carousel instagram,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",5.14,2,high,candidate
what is a carousel post,en,carousel_general,True,"['google_trends_rising', 'google_trends_top']",5.14,2,high,candidate
best ai tools for content creation,en,ai_content,True,"['google_trends_rising', 'google_trends_top']",5.1,2,high,candidate
how to create a carousel on instagram,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",5.1,2,high,candidate
how to make carousel post on instagram,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",5.1,2,high,candidate
instagram carousel collage,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",5.1,2,high,candidate
instagram carousel maker,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",5.1,2,high,candidate
ai checker,en,ai_content,True,"['google_trends_rising', 'google_trends_top']",5.08,2,high,candidate
ai content checker,en,ai_content,True,"['google_trends_rising', 'google_trends_top']",5.08,2,high,candidate
carousel meaning on instagram,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",5.08,2,high,candidate
how do i post a carousel on instagram,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",5.08,2,high,candidate
instagram caption generator,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",5.08,2,high,candidate
ai social media post generator free,en,social_content,True,"['google_trends_rising', 'google_trends_top']",5.06,2,high,candidate
candy ai,en,ai_content,True,"['google_trends_rising', 'google_trends_top']",5.06,2,high,candidate
instagram post mockup generator,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",5.06,2,high,candidate
discussion post generator,en,social_content,True,"['google_trends_rising', 'google_trends_top']",5.04,2,high,candidate
ai poster generator,en,ai_content,True,"['google_trends_rising', 'google_trends_top']",5.02,2,high,candidate
best day to post on instagram,en,instagram_carousel,True,"['google_trends_rising', 'google_trends_top']",5.02,2,high,candidate
linkedin carousel ad examples,en,linkedin_carousel,True,"['google_trends_rising', 'google_trends_top']",5.02,2,high,candidate
linkedin carousel ad specs,en,linkedin_carousel,True,"['google_trends_rising', 'google_trends_top']",5.02,2,high,candidate
ии для постов,ru,social_content,True,['yandex_wordstat'],5.0,1,medium,candidate
нейросеть для постов,ru,social_content,True,['yandex_wordstat'],5.0,1,medium,candidate
content generator,en,ai_content,True,['gsc'],5.0,1,medium,candidate
карусель для инстаграм,ru,instagram_carousel,True,['yandex_wordstat'],4.766,1,medium,candidate
linkedin carousel,en,linkedin_carousel,True,['google_trends_top'],4.0,1,medium,candidate
what is instagram carousel,en,instagram_carousel,True,['google_trends_top'],3.38,1,medium,candidate
canva carousel,en,carousel_general,True,['google_trends_top'],3.22,1,medium,candidate
instagram carousel canva,en,instagram_carousel,True,['google_trends_top'],3.2,1,medium,candidate
instagram video carousel,en,instagram_carousel,True,['google_trends_top'],3.2,1,medium,candidate
canva instagram carousel,en,instagram_carousel,True,['google_trends_top'],3.19,1,medium,candidate
instagram carousel app,en,instagram_carousel,True,['google_trends_top'],3.18,1,medium,candidate
what is carousel on instagram,en,instagram_carousel,True,['google_trends_top'],3.14,1,medium,candidate
what is carousel in instagram,en,instagram_carousel,True,['google_trends_top'],3.13,1,medium,candidate
ai content creation tools,en,ai_content,True,['google_trends_top'],3.11,1,medium,candidate
ai content writer,en,ai_content,True,['google_trends_top'],3.11,1,medium,candidate
carousel meaning,en,carousel_general,True,['google_trends_top'],3.11,1,medium,candidate
instagram carousel template,en,instagram_carousel,True,['google_trends_top'],3.11,1,medium,candidate
carousel instagram meaning,en,instagram_carousel,True,['google_trends_top'],3.1,1,medium,candidate
carousel meaning instagram,en,instagram_carousel,True,['google_trends_top'],3.1,1,medium,candidate
content writer ai,en,ai_content,True,['google_trends_top'],3.1,1,medium,candidate
instagram carousel size 2026,en,instagram_carousel,True,['google_trends_top'],3.09,1,medium,candidate
instagram carousel examples,en,instagram_carousel,True,['google_trends_top'],3.07,1,medium,candidate
what is an instagram carousel,en,instagram_carousel,True,['google_trends_top'],3.06,1,medium,candidate
what is a carousel post on instagram,en,instagram_carousel,True,['google_trends_top'],3.05,1,medium,candidate
instagram carousel dimensions,en,instagram_carousel,True,['google_trends_top'],3.04,1,medium,candidate
how to humanize ai content,en,ai_content,True,['google_trends_top'],3.01,1,medium,candidate
