keyword,language,country,region,volume,trend,relatedQueries,source,lastChecked,sourceUrl,seedQuery,sourceFile,topicCluster,isRelevant,isDuplicateFile
ai carousels,en,RU,all_regions,32,unknown,,yandex_wordstat_manual,2026-06-08,,ai carousel,wordstat_top_queries-7,ai_carousel,True,False
instagram carousel,en,RU,all_regions,232,unknown,,yandex_wordstat_manual,2026-06-08,,instagram carousel,wordstat_top_queries-9,instagram_carousel,True,False
instagram carousel templates,en,RU,all_regions,9,unknown,,yandex_wordstat_manual,2026-06-08,,instagram carousel,wordstat_top_queries-9,instagram_carousel,True,False
бесконечная карусель в инстаграм,ru,RU,all_regions,27,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
бесконечная карусель в инстаграм онлайн,ru,RU,all_regions,6,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
бесплатные нейросети для создания постов,ru,RU,all_regions,61,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
бесплатный ии для написания постов,ru,RU,all_regions,55,unknown,,yandex_wordstat_manual,2026-06-08,,ии для постов,wordstat_top_queries-5,social_content,True,False
бесшовная карусель в инстаграм,ru,RU,all_regions,117,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
бесшовная карусель в инстаграм приложение,ru,RU,all_regions,5,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
бесшовная карусель для инстаграм,ru,RU,all_regions,10,unknown,,yandex_wordstat_manual,2026-06-08,,карусель для инстаграм,wordstat_top_queries-2,instagram_carousel,True,False
бот ии для постов,ru,RU,all_regions,28,unknown,,yandex_wordstat_manual,2026-06-08,,ии для постов,wordstat_top_queries-5,social_content,True,False
в какой нейросети можно сделать пост карусель,ru,RU,all_regions,13,unknown,,yandex_wordstat_manual,2026-06-08,,карусель нейросеть,wordstat_top_queries-3,ai_carousel,True,False
